PPID,EFFDT,EXPDT,FEATURECD,SECT,PTWPPPID,PTWP,PRGE,PMER
104283118,20000614,,OSECPPID,28,103003118,13,19,2
104193118,20000614,,OSECPPID,19,103003118,13,19,2
104103118,20000614,,OSECPPID,10,103003118,13,19,2
104183118,20090226,,OSECPPID,18,103003118,13,19,2
104023118,20000614,,OSECPPID,2,103003118,13,19,2
104293118,20000614,,OSECPPID,29,103003118,13,19,2
104063118,20020711,,OSECPPID,6,103003118,13,19,2
104153118,20000614,,OSECPPID,15,103003118,13,19,2
104333118,20000614,,OSECPPID,33,103003118,13,19,2
104093118,20000614,,OSECPPID,9,103003118,13,19,2
104033118,20000614,,OSECPPID,3,103003118,13,19,2
104263118,20000614,,OSECPPID,26,103003118,13,19,2
104213118,20000614,,OSECPPID,21,103003118,13,19,2
104363118,20000614,,OSECPPID,36,103003118,13,19,2
104343118,20170926,,OSECPPID,34,103003118,13,19,2
104123118,20000614,,OSECPPID,12,103003118,13,19,2
104113118,20000614,,OSECPPID,11,103003118,13,19,2
104353118,20000614,,OSECPPID,35,103003118,13,19,2
104133118,20000614,,OSECPPID,13,103003118,13,19,2
104053118,20000614,,OSECPPID,5,103003118,13,19,2
104273118,20090302,,OSECPPID,27,103003118,13,19,2
104163118,20090226,,OSECPPID,16,103003118,13,19,2
104323118,20000614,,OSECPPID,32,103003118,13,19,2
104233118,20000614,,OSECPPID,23,103003118,13,19,2
104083118,20000614,,OSECPPID,8,103003118,13,19,2
104143118,20111031,,OSECPPID,14,103003118,13,19,2
104203118,20000614,,OSECPPID,20,103003118,13,19,2
104223118,20000614,,OSECPPID,22,103003118,13,19,2
104173118,20000614,,OSECPPID,17,103003118,13,19,2
104043118,20000614,,OSECPPID,4,103003118,13,19,2
104253118,20000614,,OSECPPID,25,103003118,13,19,2
104303118,20000614,,OSECPPID,30,103003118,13,19,2
104013118,20000614,,OSECPPID,1,103003118,13,19,2
104073118,20000614,,OSECPPID,7,103003118,13,19,2
104313118,20000614,,OSECPPID,31,103003118,13,19,2
104243118,20000614,,OSECPPID,24,103003118,13,19,2
104353252,20210413,,OSECPPID,35,103003252,12,20,2
104333252,20150923,,OSECPPID,33,103003252,12,20,2
104313252,20150923,,OSECPPID,31,103003252,12,20,2
104363252,20210413,,OSECPPID,36,103003252,12,20,2
104323252,20150923,,OSECPPID,32,103003252,12,20,2
104343252,20150923,,OSECPPID,34,103003252,12,20,2
104313387,20000708,,OSECPPID,31,103003387,12,21,2
104343387,20000708,,OSECPPID,34,103003387,12,21,2
104323387,20000708,,OSECPPID,32,103003387,12,21,2
104333387,20000708,,OSECPPID,33,103003387,12,21,2
104363387,20150923,,OSECPPID,36,103003387,12,21,2
104073388,20000708,,OSECPPID,7,103003388,13,21,2
104273388,20000708,,OSECPPID,27,103003388,13,21,2
104243388,20150924,,OSECPPID,24,103003388,13,21,2
104123388,20000708,,OSECPPID,12,103003388,13,21,2
104033388,20000708,,OSECPPID,3,103003388,13,21,2
104053388,20000708,,OSECPPID,5,103003388,13,21,2
104213388,20090427,,OSECPPID,21,103003388,13,21,2
104163388,20000708,,OSECPPID,16,103003388,13,21,2
104143388,20000708,,OSECPPID,14,103003388,13,21,2
104343388,20000708,,OSECPPID,34,103003388,13,21,2
104093388,20000708,,OSECPPID,9,103003388,13,21,2
104153388,20130318,,OSECPPID,15,103003388,13,21,2
104233388,20000708,,OSECPPID,23,103003388,13,21,2
104283388,20081113,,OSECPPID,28,103003388,13,21,2
104113388,20000708,,OSECPPID,11,103003388,13,21,2
104353388,20150930,,OSECPPID,35,103003388,13,21,2
104203388,20000708,,OSECPPID,20,103003388,13,21,2
104083388,20000708,,OSECPPID,8,103003388,13,21,2
104023388,20000708,,OSECPPID,2,103003388,13,21,2
104363388,20000708,,OSECPPID,36,103003388,13,21,2
104183388,20150929,,OSECPPID,18,103003388,13,21,2
104293388,20000708,,OSECPPID,29,103003388,13,21,2
104253388,20150930,,OSECPPID,25,103003388,13,21,2
104303388,20000708,,OSECPPID,30,103003388,13,21,2
104173388,20000708,,OSECPPID,17,103003388,13,21,2
104133388,20140121,,OSECPPID,13,103003388,13,21,2
104063388,20000708,,OSECPPID,6,103003388,13,21,2
104223388,20000708,,OSECPPID,22,103003388,13,21,2
104013388,20150219,,OSECPPID,1,103003388,13,21,2
