PPID,EFFDT,EXPDT,FEATURECD,QSECT,CONV,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER
105836474,20000911,,OQSECPPID,NW,200,104315808,31,103005808,3,9,3
105836472,20000911,,OQSECPPID,SE,300,104315808,31,103005808,3,9,3
105836473,20000911,,OQSECPPID,SW,400,104315808,31,103005808,3,9,3
105836475,20000911,,OQSECPPID,NE,100,104315808,31,103005808,3,9,3
105836469,20000911,,OQSECPPID,SW,400,104305808,30,103005808,3,9,3
105836468,20160628,,OQSECPPID,SE,300,104305808,30,103005808,3,9,3
105836471,20000911,,OQSECPPID,NE,100,104305808,30,103005808,3,9,3
105836470,20000911,,OQSECPPID,NW,200,104305808,30,103005808,3,9,3
105836395,20000911,,OQSECPPID,NE,100,104115808,11,103005808,3,9,3
105836393,20000911,,OQSECPPID,SW,400,104115808,11,103005808,3,9,3
105836392,20000911,,OQSECPPID,SE,300,104115808,11,103005808,3,9,3
105836394,20000911,,OQSECPPID,NW,200,104115808,11,103005808,3,9,3
105836397,20000911,,OQSECPPID,SW,400,104125808,12,103005808,3,9,3
105836398,20000911,,OQSECPPID,NW,200,104125808,12,103005808,3,9,3
105836396,20000911,,OQSECPPID,SE,300,104125808,12,103005808,3,9,3
105836399,20000911,,OQSECPPID,NE,100,104125808,12,103005808,3,9,3
105836364,20151027,,OQSECPPID,SE,300,104045808,4,103005808,3,9,3
105836365,20151027,,OQSECPPID,SW,400,104045808,4,103005808,3,9,3
105836367,20151027,,OQSECPPID,NE,100,104045808,4,103005808,3,9,3
105836366,20151027,,OQSECPPID,NW,200,104045808,4,103005808,3,9,3
105836362,20000911,,OQSECPPID,NW,200,104035808,3,103005808,3,9,3
105836363,20000911,,OQSECPPID,NE,100,104035808,3,103005808,3,9,3
105836361,20000911,,OQSECPPID,SW,400,104035808,3,103005808,3,9,3
105836360,20000911,,OQSECPPID,SE,300,104035808,3,103005808,3,9,3
105836359,20000911,,OQSECPPID,NE,100,104025808,2,103005808,3,9,3
105836357,20000911,,OQSECPPID,SW,400,104025808,2,103005808,3,9,3
105836358,20000911,,OQSECPPID,NW,200,104025808,2,103005808,3,9,3
105836356,20000911,,OQSECPPID,SE,300,104025808,2,103005808,3,9,3
105836354,20000911,,OQSECPPID,NW,200,104015808,1,103005808,3,9,3
105836352,20000911,,OQSECPPID,SE,300,104015808,1,103005808,3,9,3
105836355,20000911,,OQSECPPID,NE,100,104015808,1,103005808,3,9,3
105836353,20000911,,OQSECPPID,SW,400,104015808,1,103005808,3,9,3
105836334,20141210,,OQSECPPID,NW,200,104325807,32,103005807,2,9,3
105836333,20000911,,OQSECPPID,SW,400,104325807,32,103005807,2,9,3
105836335,20141210,,OQSECPPID,NE,100,104325807,32,103005807,2,9,3
