PPID,EFFDT,EXPDT,FEATURECD,QSECT,PSECTPPID,PSECT,PTWPPPID,PTWP,PRGE,PMER,OQSECTPPID
163563543,20000702,,QSECPPID,300,162129843,35,103001353,3,6,2,105194968
163563584,20020618,,QSECPPID,400,162129843,35,103001353,3,6,2,105194969
163563600,20020618,,QSECPPID,200,162129842,13,103001353,3,6,2,105194882
163563490,20020618,,QSECPPID,300,162129872,29,103001353,3,6,2,105194944
163563546,20000702,,QSECPPID,300,162129854,25,103001353,3,6,2,105194928
163563469,20020618,,QSECPPID,200,162129836,28,103001353,3,6,2,105194942
163563478,20020618,,QSECPPID,100,162129854,25,103001353,3,6,2,105194931
163563579,20020618,,QSECPPID,300,162129845,34,103001353,3,6,2,105194964
163563467,20000702,,QSECPPID,300,162129852,6,103001353,3,6,2,105194852
163563506,20020618,,QSECPPID,300,162129862,9,103001353,3,6,2,105194864
163563470,20020618,,QSECPPID,400,162129836,28,103001353,3,6,2,105194941
163563485,20000702,,QSECPPID,200,162129865,29,103001353,3,6,2,105194946
163563610,20000702,,QSECPPID,200,162129873,1,103001353,3,6,2,105194834
163563607,20020618,,QSECPPID,100,162129835,2,103001353,3,6,2,105194839
163563603,20020618,,QSECPPID,100,162129861,4,103001353,3,6,2,105194847
163563551,20000702,,QSECPPID,200,162129852,6,103001353,3,6,2,105194854
163563465,20020618,,QSECPPID,400,162129869,3,103001353,3,6,2,105194841
163563605,20020618,,QSECPPID,300,162129870,11,103001353,3,6,2,105194872
163563515,20020618,,QSECPPID,300,162129869,3,103001353,3,6,2,105194840
163563577,20020618,,QSECPPID,100,162129836,28,103001353,3,6,2,105194943
163563486,20000702,,QSECPPID,400,162129847,32,103001353,3,6,2,105194957
163563589,20020618,,QSECPPID,300,162129837,21,103001353,3,6,2,105194912
163563520,20020618,,QSECPPID,300,162129867,15,103001353,3,6,2,105194888
163563599,20020618,,QSECPPID,400,162129842,13,103001353,3,6,2,105194881
163563553,20120725,,QSECPPID,200,162129850,18,103001353,3,6,2,105194902
163563502,20160509,,QSECPPID,400,162129852,6,103001353,3,6,2,105194853
163563466,20020618,,QSECPPID,300,162129861,4,103001353,3,6,2,105194844
163563474,20000702,,QSECPPID,300,162129873,1,103001353,3,6,2,105194832
163563475,20020618,,QSECPPID,400,162129835,2,103001353,3,6,2,105194837
163563517,20020618,,QSECPPID,300,162129866,10,103001353,3,6,2,105194868
163563573,20000702,,QSECPPID,300,162129840,12,103001353,3,6,2,105194876
163563524,20020618,,QSECPPID,100,162129851,19,103001353,3,6,2,105194907
163563590,20020618,,QSECPPID,100,162129837,21,103001353,3,6,2,105194915
163563593,20020618,,QSECPPID,200,162129868,22,103001353,3,6,2,105194918
163563482,20020618,,QSECPPID,100,162129868,22,103001353,3,6,2,105194919
163563542,20020618,,QSECPPID,100,162129856,23,103001353,3,6,2,105194923
163563547,20020618,,QSECPPID,200,162129841,24,103001353,3,6,2,105194926
163563572,20020618,,QSECPPID,100,162129841,24,103001353,3,6,2,105194927
163563526,20020618,,QSECPPID,400,162129865,29,103001353,3,6,2,105194945
163563549,20000702,,QSECPPID,200,162129853,7,103001353,3,6,2,105194858
163563483,20000702,,QSECPPID,100,162129853,7,103001353,3,6,2,105194859
163563498,20020618,,QSECPPID,200,162129833,8,103001353,3,6,2,105194862
163563513,20020618,,QSECPPID,200,162129870,11,103001353,3,6,2,105194874
163563609,20020618,,QSECPPID,200,162129840,12,103001353,3,6,2,105194878
163563508,20020618,,QSECPPID,200,162129866,10,103001353,3,6,2,105194870
163563521,20020618,,QSECPPID,100,162129866,10,103001353,3,6,2,105194871
163563588,20020618,,QSECPPID,100,162129850,18,103001353,3,6,2,105194903
163563591,20020618,,QSECPPID,100,162129863,16,103001353,3,6,2,105194895
163563594,20020618,,QSECPPID,200,162129867,15,103001353,3,6,2,105194890
163563481,20020618,,QSECPPID,200,162129839,14,103001353,3,6,2,105194886
163563297,20000702,,QSECPPID,100,162129736,34,103001352,2,6,2,105194823
163563559,20120730,,QSECPPID,100,0162A503GA,31,103001353,3,6,2,105194955
163563541,20020618,,QSECPPID,200,162129856,23,103001353,3,6,2,105194922
163563561,20000702,,QSECPPID,200,162129846,33,103001353,3,6,2,105194962
163563565,20020618,,QSECPPID,100,162129844,36,103001353,3,6,2,105194975
163563479,20020618,,QSECPPID,300,162129844,36,103001353,3,6,2,105194972
163563477,20020618,,QSECPPID,400,162129844,36,103001353,3,6,2,105194973
163563585,20020618,,QSECPPID,200,162129855,26,103001353,3,6,2,105194934
163563540,20020618,,QSECPPID,400,162129855,26,103001353,3,6,2,105194933
163563562,20010426,,QSECPPID,200,162129845,34,103001353,3,6,2,105194966
163563504,20000702,,QSECPPID,400,162129834,6,103001353,3,6,2,105194853
163563574,20000702,,QSECPPID,100,162129840,12,103001353,3,6,2,105194879
163563495,20020618,,QSECPPID,200,162129875,17,103001353,3,6,2,105194898
163563516,20020618,,QSECPPID,100,162129869,3,103001353,3,6,2,105194843
163563602,20000702,,QSECPPID,100,162129852,6,103001353,3,6,2,105194855
163563514,20020618,,QSECPPID,400,162129870,11,103001353,3,6,2,105194873
163563597,20020618,,QSECPPID,100,162129839,14,103001353,3,6,2,105194887
163563511,20020618,,QSECPPID,400,162129839,14,103001353,3,6,2,105194885
163563554,20120725,,QSECPPID,400,162129850,18,103001353,3,6,2,105194901
163563587,20020618,,QSECPPID,300,162129850,18,103001353,3,6,2,105194900
163563523,20020618,,QSECPPID,100,162129862,9,103001353,3,6,2,105194867
163563204,20000702,,QSECPPID,100,162129776,31,103001352,2,6,2,105194811
163563536,20230823,,QSECPPID,300,162129858,17,103001353,3,6,2,105194896
163563531,20230823,,QSECPPID,400,162129862,9,103001353,3,6,2,105194865
163563533,20230823,,QSECPPID,100,162129860,5,103001353,3,6,2,105194851
163563532,20230823,,QSECPPID,200,162129861,4,103001353,3,6,2,105194846
163563535,20230823,,QSECPPID,100,162129859,8,103001353,3,6,2,105194863
163563299,20020527,,QSECPPID,200,162129735,32,103001352,2,6,2,105194814
163563560,20000702,,QSECPPID,200,162129847,32,103001353,3,6,2,105194958
163563512,20020618,,QSECPPID,200,162129835,2,103001353,3,6,2,105194838
163563484,20000702,,QSECPPID,100,162129873,1,103001353,3,6,2,105194835
163563550,20000702,,QSECPPID,400,162129853,7,103001353,3,6,2,105194857
163563601,20000702,,QSECPPID,300,162129853,7,103001353,3,6,2,105194856
163563499,20000702,,QSECPPID,400,162129833,8,103001353,3,6,2,105194861
163563576,20020618,,QSECPPID,300,162129836,28,103001353,3,6,2,105194940
163563557,20120725,,QSECPPID,400,162129849,30,103001353,3,6,2,105194949
163563507,20020618,,QSECPPID,400,162129866,10,103001353,3,6,2,105194869
163563476,20000702,,QSECPPID,300,162129835,2,103001353,3,6,2,105194836
163563226,20000702,,QSECPPID,200,162129736,34,103001352,2,6,2,105194822
163563496,20020618,,QSECPPID,400,162129875,17,103001353,3,6,2,105194897
163563522,20020618,,QSECPPID,300,162129863,16,103001353,3,6,2,105194892
163563509,20020618,,QSECPPID,400,162129867,15,103001353,3,6,2,105194889
163563596,20020618,,QSECPPID,300,162129839,14,103001353,3,6,2,105194884
163563569,20020618,,QSECPPID,300,162129842,13,103001353,3,6,2,105194880
163563586,20020618,,QSECPPID,300,162129851,19,103001353,3,6,2,105194904
163563570,20020618,,QSECPPID,100,162129842,13,103001353,3,6,2,105194883
163563505,20130626,,QSECPPID,400,162129851,19,103001353,3,6,2,105194905
163563480,20020618,,QSECPPID,400,162129864,20,103001353,3,6,2,105194909
163563592,20020618,,QSECPPID,400,162129868,22,103001353,3,6,2,105194917
163563598,20020618,,QSECPPID,400,162129841,24,103001353,3,6,2,105194925
163563571,20020618,,QSECPPID,300,162129841,24,103001353,3,6,2,105194924
163563556,20120725,,QSECPPID,200,162129849,30,103001353,3,6,2,105194950
163563487,20000702,,QSECPPID,100,162129849,30,103001353,3,6,2,105194951
163563544,20020618,,QSECPPID,100,162129855,26,103001353,3,6,2,105194935
163563491,20020618,,QSECPPID,100,162129872,29,103001353,3,6,2,105194947
163563545,20000702,,QSECPPID,200,162129854,25,103001353,3,6,2,105194930
163563581,20020618,,QSECPPID,200,162129871,27,103001353,3,6,2,105194938
163563583,20020618,,QSECPPID,100,162129871,27,103001353,3,6,2,105194939
0163A515HL,20120730,,QSECPPID,200,0162A503GA,31,103001353,3,6,2,105194954
163563538,20020618,,QSECPPID,100,162129857,32,103001353,3,6,2,105194959
163563563,20000702,,QSECPPID,100,162129846,33,103001353,3,6,2,105194963
163563468,20020618,,QSECPPID,400,162129846,33,103001353,3,6,2,105194961
163563575,20020618,,QSECPPID,300,162129846,33,103001353,3,6,2,105194960
163563578,20020618,,QSECPPID,400,162129845,34,103001353,3,6,2,105194965
163563580,20020618,,QSECPPID,400,162129871,27,103001353,3,6,2,105194937
163563582,20020618,,QSECPPID,300,162129871,27,103001353,3,6,2,105194936
163563539,20020618,,QSECPPID,300,162129855,26,103001353,3,6,2,105194932
163563295,20000702,,QSECPPID,200,162129738,35,103001352,2,6,2,105194826
163563568,20020618,,QSECPPID,200,162129843,35,103001353,3,6,2,105194970
163563566,20020618,,QSECPPID,200,162129844,36,103001353,3,6,2,105194974
163563525,20000702,,QSECPPID,300,162129849,30,103001353,3,6,2,105194948
163563473,20000702,,QSECPPID,400,162129873,1,103001353,3,6,2,105194833
163563510,20020618,,QSECPPID,100,162129867,15,103001353,3,6,2,105194891
163563595,20020618,,QSECPPID,300,162129856,23,103001353,3,6,2,105194920
163563519,20020618,,QSECPPID,400,162129856,23,103001353,3,6,2,105194921
163563518,20020618,,QSECPPID,300,162129868,22,103001353,3,6,2,105194916
163563205,20000702,,QSECPPID,200,162129776,31,103001352,2,6,2,105194810
163563494,20200804,,QSECPPID,100,162129838,20,103001353,3,6,2,105194911
163563493,20200804,,QSECPPID,300,162129838,20,103001353,3,6,2,105194908
163563471,20200804,,QSECPPID,200,162129837,21,103001353,3,6,2,105194914
163563537,20230823,,QSECPPID,100,162129858,17,103001353,3,6,2,105194899
163563529,20230823,,QSECPPID,400,162129863,16,103001353,3,6,2,105194893
163563534,20230823,,QSECPPID,300,162129859,8,103001353,3,6,2,105194860
163563530,20230823,,QSECPPID,200,162129862,9,103001353,3,6,2,105194866
0163A519X4,20230823,,QSECPPID,200,162129863,16,103001353,3,6,2,105194894
163563220,20230912,,QSECPPID,200,162129772,33,103001352,2,6,2,105194818
163563489,20230912,,QSECPPID,400,162129861,4,103001353,3,6,2,105194845
163563291,20230912,,QSECPPID,100,162129734,32,103001352,2,6,2,105194815
163563606,20020618,,QSECPPID,100,162129870,11,103001353,3,6,2,105194875
163563548,20020618,,QSECPPID,400,162129854,25,103001353,3,6,2,105194929
163563500,20000702,,QSECPPID,200,162129874,5,103001353,3,6,2,105194850
163563608,20020618,,QSECPPID,400,162129840,12,103001353,3,6,2,105194877
163563218,20000702,,QSECPPID,100,162129772,33,103001352,2,6,2,105194819
163563492,20000702,,QSECPPID,300,162129857,32,103001353,3,6,2,105194956
163563552,20120725,,QSECPPID,200,162129851,19,103001353,3,6,2,105194906
163563567,20020618,,QSECPPID,100,162129843,35,103001353,3,6,2,105194971
163563564,20010426,,QSECPPID,100,162129845,34,103001353,3,6,2,105194967
163584802,20021018,,QSECPPID,300,162135171,17,103001082,2,4,2,105155872
0163A007MC,20120514,,QSECPPID,400,0162A000XF,18,103001082,2,4,2,105155877
163584817,20000806,,QSECPPID,400,162135162,5,103001082,2,4,2,105155825
163584806,20000806,,QSECPPID,300,162135169,8,103001082,2,4,2,105155836
163584719,20000806,,QSECPPID,300,162135152,20,103001082,2,4,2,105155884
163584799,20000806,,QSECPPID,200,162135152,20,103001082,2,4,2,105155886
163584744,20000806,,QSECPPID,200,162135185,13,103001082,2,4,2,105155858
163584730,20000806,,QSECPPID,200,162135187,24,103001082,2,4,2,105155902
163584849,20000806,,QSECPPID,300,162135146,26,103001082,2,4,2,105155908
163584772,20120514,,QSECPPID,200,162135156,7,103001082,2,4,2,105155834
163584775,20021018,,QSECPPID,300,162135158,7,103001082,2,4,2,105155832
163584830,20000806,,QSECPPID,300,162135157,7,103001082,2,4,2,105155832
163584847,20000806,,QSECPPID,300,162135148,6,103001082,2,4,2,105155828
163584698,20000806,,QSECPPID,300,162135181,36,103001082,2,4,2,105155948
163584851,20000806,,QSECPPID,300,162135145,35,103001082,2,4,2,105155944
163584697,20000806,,QSECPPID,400,162135145,35,103001082,2,4,2,105155945
163584696,20000806,,QSECPPID,400,162135170,34,103001082,2,4,2,105155941
163584693,20000806,,QSECPPID,300,162135164,33,103001082,2,4,2,105155936
163584768,20000806,,QSECPPID,100,162135181,36,103001082,2,4,2,105155951
163584787,20000806,,QSECPPID,100,162135170,34,103001082,2,4,2,105155943
163584805,20000806,,QSECPPID,200,162135170,34,103001082,2,4,2,105155942
163584815,20000806,,QSECPPID,200,162135164,33,103001082,2,4,2,105155938
163584781,20000806,,QSECPPID,200,162135145,35,103001082,2,4,2,105155946
163584816,20080520,,QSECPPID,200,162135150,32,103001082,2,4,2,105155934
163584712,20000806,,QSECPPID,200,162135146,26,103001082,2,4,2,105155910
163584769,20000806,,QSECPPID,200,162135181,36,103001082,2,4,2,105155950
163563908,20000617,,QSECPPID,100,162129920,36,103001217,2,5,2,105175391
163584629,20020619,,QSECPPID,100,162135119,31,103001081,1,4,2,105155787
163584749,20000806,,QSECPPID,400,162135184,9,103001082,2,4,2,105155841
163584786,20000806,,QSECPPID,400,162135176,16,103001082,2,4,2,105155869
163584831,20000806,,QSECPPID,300,162135156,7,103001082,2,4,2,105155832
163584853,20021018,,QSECPPID,100,162135144,31,103001082,2,4,2,105155931
163584841,20000806,,QSECPPID,200,162135144,31,103001082,2,4,2,105155930
163584727,20000806,,QSECPPID,100,162135187,24,103001082,2,4,2,105155903
163584738,20000806,,QSECPPID,300,162135186,14,103001082,2,4,2,105155860
163584848,20000806,,QSECPPID,100,162135147,23,103001082,2,4,2,105155899
163584739,20000806,,QSECPPID,400,162135186,14,103001082,2,4,2,105155861
163584708,20000806,,QSECPPID,100,162135179,27,103001082,2,4,2,105155915
163584852,20000806,,QSECPPID,100,162135145,35,103001082,2,4,2,105155947
163584531,20000806,,QSECPPID,200,162135106,34,103001081,1,4,2,105155798
163584724,20000806,,QSECPPID,200,162135172,22,103001082,2,4,2,105155894
163584734,20000806,,QSECPPID,100,162135178,15,103001082,2,4,2,105155867
163584791,20000806,,QSECPPID,300,162135175,3,103001082,2,4,2,105155816
163584525,20000806,,QSECPPID,100,162135143,33,103001081,1,4,2,105155795
