PPID,EFFDT,EXPDT,FEATURECD,TWPUID,TWP,RGE,MER,TRM,GRID
103000693,20000619,,TWPPPID,693,18,1,2,2018-01-02,
103000421,20000703,,TWPPPID,421,16,33,1,16-33-1,4
103000152,20020422,,TWPPPID,152,17,31,1,17-31-1,6
103000153,20020619,,TWPPPID,153,18,31,1,18-31-1,10
103000691,20000619,,TWPPPID,691,16,1,2,2016-01-02,
103000422,20020419,,TWPPPID,422,17,33,1,17-33-1,8
103000015,20010824,,TWPPPID,15,15,30,1,15-30-1,
103000018,20020504,,TWPPPID,18,18,30,1,18-30-1,9
103000286,20000630,,TWPPPID,286,16,32,1,16-32-1,3
103000016,20000617,,TWPPPID,16,16,30,1,16-30-1,1
103000692,20020502,,TWPPPID,692,17,1,2,2017-01-02,
103000288,20020619,,TWPPPID,288,18,32,1,18-32-1,11
103000420,20060206,,TWPPPID,420,15,33,1,15-33-1,
103000287,20010419,,TWPPPID,287,17,32,1,17-32-1,7
103000017,20020504,,TWPPPID,17,17,30,1,17-30-1,5
103000151,20000619,,TWPPPID,151,16,31,1,16-31-1,2
103000423,20010913,,TWPPPID,423,18,33,1,18-33-1,12
